# ----------------------------------------
# Relatório do painel
# ----------------------------------------
# Usuários ativos


# Principais eventos de conversão


# Engajamento diário do usuário
# Data de início: 20200606
# Data de término: 20200703
Caminho da página e classe da tela,Envolvimento do usuário,Tempo médio de engajamento
SM-G928C,1
SM-G928F,1
SM-G928V,1
SM-G935R4,1
SM-G935W8,1
SM-G9550,1
SM-G9730,1
SM-G977N,1
SM-G986B,1
SM-G986N,1
SM-G988U,1
SM-G988U1,1
SM-J100H,1
SM-J105B,1
SM-J106B,1
SM-J110G,1
SM-J111M,1
SM-J210F,1
SM-J250G,1
SM-J250M,1
SM-J320A,1
SM-J320FN,1
SM-J327P,1
SM-J327T,1
SM-J327V,1
SM-J337U,1
SM-J337V,1
SM-J510F,1
SM-J530F,1
SM-J600GT,1
SM-J610FN,1
SM-J610G,1
SM-J701M,1
SM-J710GN,1
SM-J730GM,1
SM-J730M,1
SM-J737P,1
SM-J737T1,1
SM-J810F,1
SM-J810G,1
SM-M205FN,1
SM-N750,1
SM-N770F,1
SM-N900,1
SM-N9005,1
SM-N910C,1
SM-N910F,1
SM-N910P,1
SM-N910S,1
SM-N910V,1
SM-N920F,1
SM-N935F,1
SM-N9500,1
SM-N950U1,1
SM-N9600,1
SM-N975W,1
SM-N976B,1
SM-N976V,1
SM-P205,1
SM-P350,1
SM-P580,1
SM-P600,1
SM-S102DL,1
SM-S320VL,1
SM-S327VL,1
SM-S550TL,1
SM-S727P,1
SM-S727R4,1
SM-S767VL,1
SM-T116BU,1
SM-T210R,1
SM-T231,1
SM-T2397,1
SM-T285M,1
SM-T311,1
SM-T320,1
SM-T330,1
SM-T377T,1
SM-T515,1
SM-T530,1
SM-T555,1
SM-T595,1
SM-T597P,1
SM-T715,1
SM-T719,1
SM-T720,1
SM-T727V,1
SM-T800,1
SM-T805Y,1
SM-T810,1
SM-T817R4,1
SM-T818V,1
SM-T835,1
SM-T865,1
SM-T867U,1
SO-01J,1
SO-01M,1
SO-03H,1
SO-03J,1
SO-03K,1
SO-04H,1
SOV35,1
SOV37,1
SOV38,1
SOV39,1
SP413,1
STF-L09,1
STK-L22,1
Shield Tablet K1,1
T00G,1
T00J,1
T328w,1
TA-1052,1
TB-7304X,1
TB-8504F,1
TB-8703F,1
TB-8704F,1
TB-X103F,1
TB-X304F,1
TB-X704F,1
TB-X704L,1
TECNO IN1,1
TIT-U02,1
TP10A1I,1
TP260,1
TP450,1
TR10RS1,1
TRT-L21A,1
Twist 2,1
U Pulse,1
U202AA,1
V1,1
V410,1
V490/V1.0,1
V530,1
V55C,1
V60,1
VF1497,1
VF685,1
VFD 620,1
VG551,1
VK410,1
VNS-L21,1
VNS-L22,1
VOG-L04,1
VOG-L09,1
VOG-L29,1
VS986,1
VS987,1
VTR-L29,1
Viking Pro 10,1
Vivo XL4,1
W-K200,1
W-P311-EEA,1
W-V720-EEA,1
W4003,1
W5 Lite,1
W5001P,1
W6002,1
W6002E,1
WAS-LX1,1
WX3P,1
Winner A75,1
X007D,1
X008DB,1
X00BD,1
X00LDB,1
X00PD,1
X013D,1
X013DB,1
X014D,1
X1,1
X240,1
X537,1
X572,1
X573B,1
X608,1
X625B,1
X625C,1
X625D,1
X626B LTE,1
X652A,1
X652B,1
XT1022,1
XT1032,1
XT1033,1
XT1039,1
XT1565,1
XT1635-01,1
XT1920DL,1
Xoom,1
Xperia D6633,1
Y15,1
Y21,1
Y21L,1
Y28,1
Y35,1
Y55 1603,1
YAL-L21,1
YT3-850F,1
YT3-X50F,1
Z00LDD,1
Z00UDC,1
Z00UDH,1
Z00WD,1
Z010D,1
Z011DD,1
Z012DB,1
Z012DC,1
Z017DA,1
Z01BDB,1
Z01KDA,1
Z380M,1
Z4,1
Z410,1
Z50,1
Z558VL,1
Z559DL,1
Z61 2GB,1
Z855,1
Z958,1
Z981,1
Z982,1
ZB570TL,1
Zero 4 Plus,1
d-02H,1
d7,1
i55D,1
moto E5 cruise,1
moto e5 supra,1

# Data de início: 20200606
# Data de término: 20200703
"SO, incluindo versão",Usuários
iOS 13.5.1,2402
iOS 13.4.1,1504
Android 9,1466
Android 10,879
Android 8.1.0,757
iOS 13.3.1,320
Android 6.0.1,277
Android 7.0,256
Android 8.0.0,227
iOS 13.5,176
iOS 12.4.6,175
Android 5.1.1,167
Android 7.1.1,157
Android 7.1.2,136
iOS 9.3.5,102
Android 6.0,100
iOS 13.3,77
Android 5.1,76
Android 4.4.2,54
Android 4.4.4,52
iOS 12.4.7,43
iOS 12.4.1,41
iOS 10.3.3,34
Android 5.0.2,33
iOS 12.3.1,32
iOS 12.4.5,27
iOS 12.4,19
iOS 11.4.1,18
iOS 12.1.4,16
iOS 10.3.4,14
iOS 12.4.4,14
iOS 13.1.2,14
iOS 12.2,13
iOS 13.4,11
Android 4.1.2,10
iOS 13.2,9
iOS 9.3.6,9
Android 5.0,8
iOS 13.2.3,8
iOS 13.6,8
Android 4.2.2,7
iOS 12.1,7
iOS 12.4.3,7
iOS 13.1.3,7
Android 5.0.1,6
iOS 11.2.6,6
iOS 12.1.2,6
iOS 9.3.2,5
iOS 11.2.1,4
iOS 11.3,4
iOS 11.4,4
iOS 12.0,4
iOS 12.0.1,4
iOS 12.4.2,4
iOS 13.0,4
iOS 13.1.1,4
iOS 13.2.2,4
iOS 14.0,4
iOS 8.4.1,4
iOS 11.0.3,3
iOS 12.1.1,3
iOS 13.5.5,3
